title,description,mediaType,eps,duration,ongoing,sznOfRelease,years_running,studio_primary,studios_colab,contentWarn,watched,watching,wantWatch,dropped,rating,votes,tag_Based_on_a_Manga,tag_Comedy,tag_Action,tag_Fantasy,tag_Sci_Fi,tag_Shounen,tag_Original_Work,tag_Non_Human_Protagonists,tag_Drama,tag_Adventure,tag_Family_Friendly,tag_Short_Episodes,tag_School_Life,tag_Romance,tag_Shorts,tag_Slice_of_Life,tag_Seinen,tag_Supernatural,tag_Magic,tag_Animal_Protagonists,tag_Ecchi,tag_Mecha,tag_Based_on_a_Light_Novel,tag_CG_Animation,tag_Superpowers,tag_Others,tag_missing
PRINTER REC Music,,Web,1,1,FALSE,is_missing,0,is_missing,0,0,22,0,9,0,2.082,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10 Tokyo Warriors,"Several centuries ago, ten warriors combined their power to battle against the Demon King – a warrior of great power and evil. Though he was sealed away for all eternity, in present-day Tokyo that seal has begun to weaken, and lesser demons known as Kyouma have begun to appear. It’s up to the hesitant Juuto, leader Kyoshiro and the other reincarnated warriors to come to terms with their destinies and defeat the powers of evil once more.",OVA,6,30,FALSE,is_missing,3,Others,0,0,790,36,621,82,2.082,424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AFTERLOST,"The entire population of a city disappeared—vanished without a trace. Yuki, the sole survivor, joins Takuya, a contract courier, on a perilous journey to find answers within the newly named ghost town “Lost”. With a letter from Yuki’s father as the pair’s only lead, a secretive organization refuses to let Yuki and Takuya’s meddling go unchecked.",TV,12,,FALSE,Spring,0,MADHOUSE,0,0,735,372,1484,546,2.082,861,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gori Papa Ikka no Nougyou wa Omoshiroi,,Web,1,10,FALSE,is_missing,0,is_missing,0,0,17,0,12,0,2.081,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Suzy's Zoo Daisuki! Witzy,"Witzy is an imaginative little duck who loves to play with his friends Boof, Lulla, Patches, and Elli Funt.",TV,25,2,FALSE,Spring,0,Others,0,0,63,5,84,13,2.081,56,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Kairisei Million Arthur,,Web,2,2,FALSE,is_missing,4,is_missing,0,0,40,7,47,1,2.081,21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turning Girls,"Ditzy Nana, fujoshi Chiwa, idol wannabe Kaeru, and goth groupie Kai are single salarywomen in their upper 20s, but just because the friends have jobs to juggle doesn’t mean they can’t also have fun! By spending their weekends and free time going on awkward group dates, imagining ridiculous yaoi scenarios, and flirting with ultra-buff bodybuilders, the women are sure to have a great time and create plenty of memories in the process!",Web,7,5,FALSE,is_missing,0,is_missing,0,0,451,63,281,77,2.081,416,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Selector Infected WIXOSS Specials,,DVD Special,3,5,FALSE,is_missing,0,J.C. Staff,0,0,406,64,337,28,2.08,318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delpower X Bakuhatsu Miracle Genki!,"Hanegi Manami is a junior high school girl with unusual relatives, to say the least. Her grandfather's passion is building unusual things, and has just had his latest concoction delivered to their doorstep -- the mecha known as Del Power X! With a driver's seat specially designed for Manami, its powers are rivaled by no other. Unfortunately, her grandfather's rival Von Getsueru and a plethora of other people are determined to prove that fact wrong, regardless of who is in the pilot's seat! Manami must fight for love, pride, and above all else, the loss of her precious bento!",OVA,1,42,FALSE,is_missing,0,Others,0,0,187,6,206,9,2.08,101,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AWOL: Absent Without Leave,"Cyress was a peaceful planet until Solomon, a mysterious terrorist group lead by Duran Gash, seizes seven PDP missiles that are capable of destroying entire planets. Jim Hyatt is chosen to be the man to lead a team to do what seems to be impossible: Find a way to both rescue the hostages and reclaim or destroy the deadly PDP missiles. The problem though is that the team members don't really like each other...",TV,12,,FALSE,Winter,0,Studio Deen,0,0,37,4,95,6,2.08,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parappa the Rapper,"Chronicles the misadventures of a rapping dog named Parappa and his very odd friends, which include a blue cat, a talking flower, and a guitar playing lamb.",TV,30,,FALSE,Winter,1,J.C. Staff,0,0,184,14,219,39,2.079,131,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hatsune Miku: Hiyashite Narasou Okashi no Ii Oto,,Other,1,1,FALSE,is_missing,0,is_missing,0,0,141,0,32,3,2.069,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hello Kitty no Oyayubi-hime,,Movie,1,40,FALSE,is_missing,0,Others,0,0,83,0,45,7,2.078,40,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otanjoubi Omedetou,,Music Video,1,2,FALSE,is_missing,0,is_missing,0,0,18,0,6,1,2.078,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sin in the Rain,"Kimura Yui has had a tragic life. After the traumatic death of her parents, Kimura has suffered yet another loss: her personal advisor, Kansaki. Now, lonely and distressed, Kimura wanders in the rain until she is harassed by two suspicious men – and subsequently is saved by an unknown benefactor while she faints and falls to the ground. Later, Kimura awakens in the house of her savior, the detective Takamizawa Kyosuke, who offers to help her discover the truth behind these murders…",OVA,1,22,FALSE,is_missing,0,Others,0,0,282,5,330,7,2.077,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beongae Atom,,Movie,1,80,FALSE,is_missing,0,is_missing,0,0,15,1,11,1,2.077,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
